Stkcd,Year,Fn05601,Fn05602,var_5,var_6,Sum,test,Test
002246,2015.0,襄阳市财政局社会保险基金,459000.0,15089270.35,0.0,15089271.0,0,1
600720,2015.0,4500KW余热发电财政奖励资金,225833.0,8816206.55,0.0,8406204.0,0,0
002466,2013.0,县财政局拨付2012年企业扶持资金2,2895000.0,7536100.0,0.0,7536100.0,1,1
002498,2013.0,高压超高压交联聚乙烯电缆材料技改补助资金,10390000.0,32500584.68,0.0,32500584.0,0,1
600893,2011.0,2009年西安市高新技术增业发展专项资金,450000.0,7855108.17,0.0,7144411.0,0,0
600309,2019.0,BC中匈工业园补助,32949462.0,961498177.6,0.0,961498177.0,0,1
300003,2019.0,高新企业奖励2,130000.0,156540542.7,24720695.22,156540544.0,0,1
002803,2018.0,印刷绿色环保数字化生产线项目-设备2,125000.0,4962544.68,0.0,4962544.0,0,1
688680,2022.0,计入其他收益的政府补助（直接计入当期损益的政府补助）其中：纳税奖励金,6230000.0,54861489.74,0.0,54861490.0,1,1
000779,2011.0,与资产相关的政府补助：技术改造及研发项目补助资金,384275.0,1105903.74,0.0,1105904.0,1,1
839792,2021.0,稳岗补贴,85736.0,18168985.38,0.0,18168986.0,0,1
300331,2022.0,政府补助其中：开发区管委会纾解困难补助资金,30000.0,75498016.13,37699181.58,75498015.0,0,1
601369,2015.0,高端压缩机组高效可靠及智能化基础研究课题5,44150.0,24935893.66,0.0,24880726.0,0,1
300124,2021.0,知识产权高质量发展补贴,321655.0,1189511909.0,121529197.0,602071978.0,0,0
002592,2017.0,年产100万只硬钎焊散热器技术改造项目-,1527500.0,6062047.17,0.0,6012048.0,0,1
600150,2016.0,自升式钻井平台品牌工程（1型）,7650000.0,104550849.2,0.0,104550848.0,0,1
600626,2019.0,进项税额加计抵扣,376.0,41967436.21,0.0,41967435.0,0,1
688118,2020.0,上海市残疾人就业服务中心奖励款,15321.0,12251788.23,7545610.33,12251788.0,1,1
300082,2013.0,广东奥克收用电优惠及税收等奖励,550592.0,8293725.02,0.0,8293725.0,1,1
002107,2014.0,江西省知识产权局2014年第三批专利费资助款,2500.0,17091066.95,0.0,13997985.0,0,0
600577,2017.0,品牌战略与自主创新奖励款,100000.0,22904937.52,0.0,22904937.0,0,1
300254,2015.0,质量技术监督补助基金,60000.0,1824663.3,0.0,1824664.0,0,1
002236,2008.0,车载智能多媒体系统,185000.0,31567360.92,0.0,31567361.0,1,1
